<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.07.01	00:00:00	99.212	101.531	97.584	97.803	1213050	0	1
2013.08.01	00:00:00	97.808	99.948	95.809	98.116	1117212	0	1
2013.09.01	00:00:00	98.321	100.608	97.499	98.24	847752	0	1
2013.10.01	00:00:00	98.245	99.003	96.567	98.353	838278	0	1
2013.11.01	00:00:00	98.354	102.612	97.633	102.405	657312	0	1
2013.12.01	00:00:00	102.499	105.412	101.624	105.252	679014	0	1
2014.01.01	00:00:00	105.237	105.44	101.842	101.932	856585	0	1
2014.02.01	00:00:00	102.142	102.827	100.755	101.779	726887	0	1
2014.03.01	00:00:00	101.48	103.759	101.199	103.224	1078910	0	1
2014.04.01	00:00:00	103.224	104.127	101.324	102.217	885875	0	1
2014.05.01	00:00:00	102.222	103.018	100.821	101.746	722223	0	1
2014.06.01	00:00:00	101.811	102.794	101.229	101.314	644012	0	1
2014.07.01	00:00:00	101.315	103.074	101.057	102.781	452953	0	17
2014.08.01	00:00:00	102.78	104.264	101.501	104.094	889320	0	1
2014.09.01	00:00:00	104.163	109.842	104.092	109.619	1111013	0	1
2014.10.01	00:00:00	109.616	112.467	105.193	112.331	1585235	0	1
2014.11.01	00:00:00	112.689	118.969	112.564	118.61	1790859	0	1
2014.12.01	00:00:00	118.749	121.84	115.556	119.852	2060618	0	3
2015.01.01	00:00:00	120.413	120.733	115.845	117.504	2600062	0	18
2015.02.01	00:00:00	116.938	120.472	116.868	119.587	2086159	0	17
2015.03.01	00:00:00	119.706	122.016	118.321	120.109	2489520	0	13
2015.04.01	00:00:00	120.107	120.836	118.486	119.366	1789607	0	17
2015.05.01	00:00:00	119.361	124.452	118.88	124.122	1685597	0	17
2015.06.01	00:00:00	124.059	125.847	121.933	122.484	2335947	0	15
2015.07.01	00:00:00	122.483	124.573	120.403	123.852	2529591	0	17
2015.08.01	00:00:00	123.872	125.272	116.119	121.213	2807527	0	19
2015.09.01	00:00:00	121.213	121.319	118.58	119.866	2903034	0	17
2015.10.01	00:00:00	119.866	121.499	118.056	120.607	2207262	0	17
2015.11.01	00:00:00	120.332	123.745	120.249	123.092	2003216	0	17
2015.12.01	00:00:00	123.095	123.662	119.993	120.237	1941853	0	16
2016.01.01	00:00:00	120.173	121.68	115.964	121.112	3139978	0	17
2016.02.01	00:00:00	121.298	121.48	110.968	112.682	3843545	0	17
2016.03.01	00:00:00	112.672	114.546	110.659	112.548	2874016	0	17
2016.04.01	00:00:00	112.547	112.574	106.27	106.315	2298418	0	17
2016.05.01	00:00:00	106.222	111.441	105.542	110.702	2133600	0	14
2016.06.01	00:00:00	110.701	110.821	98.961	103.176	2836327	0	16
2016.07.01	00:00:00	103.153	107.484	99.983	102.039	2460617	0	14
2016.08.01	00:00:00	102.287	103.523	99.535	103.41	2089743	0	16
2016.09.01	00:00:00	103.41	104.311	100.076	101.293	2435760	0	16
2016.10.01	00:00:00	101.227	105.525	101.191	104.762	1999188	0	14
2016.11.01	00:00:00	104.761	114.532	101.184	114.44	3340840	0	16
2016.12.01	00:00:00	114.438	118.656	112.868	117.022	2894631	0	16
2017.01.01	00:00:00	116.879	118.606	112.072	112.774	3460059	0	16
2017.02.01	00:00:00	112.785	114.951	111.587	112.769	6492047	622494393775056	16
2017.03.01	00:00:00	112.73	115.496	110.101	111.37	7831892	781889192181108	14
2017.04.01	00:00:00	111.356	111.771	108.123	111.511	6467391	646739093532609	15
2017.05.01	00:00:00	111.241	114.366	110.228	110.762	7552419	755124992448750	16
2017.06.01	00:00:00	110.762	112.918	108.777	112.392	7970750	797074792029252	16
2017.07.01	00:00:00	112.104	114.488	110.208	110.244	8311111	831111091688889	16
2017.08.01	00:00:00	110.244	111.044	108.259	109.962	4620318	181692298183077	16
2017.09.01	00:00:00	109.962	113.249	107.31	112.492	2795144	0	14
2017.10.01	00:00:00	112.531	114.445	111.644	113.645	2403757	0	16
2017.11.01	00:00:00	113.645	114.728	110.833	112.516	2640404	0	15
2017.12.01	00:00:00	112.516	113.743	111.401	112.673	2156315	0	14
2018.01.01	00:00:00	112.655	113.38	108.276	109.181	2767493	0	14
2018.02.01	00:00:00	109.174	110.476	105.539	106.652	3294064	0	14
2018.03.01	00:00:00	106.654	107.286	104.622	106.257	2730817	0	14
2018.04.01	00:00:00	106.224	109.529	105.65	109.334	1925446	0	14
2018.05.01	00:00:00	109.334	111.387	108.104	108.795	2397173	0	5
