<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.13	00:00:00	115.321	115.867	114.782	115.044	302629	0	15
2022.02.20	00:00:00	115.007	115.753	114.4	115.521	314347	0	15
2022.02.27	00:00:00	115.185	115.799	114.642	114.77	311044	0	15
2022.03.06	00:00:00	114.891	117.348	114.818	117.264	308335	0	15
2022.03.13	00:00:00	117.326	119.392	117.303	119.142	251691	0	15
2022.03.20	00:00:00	119.076	122.429	119.024	122.071	296240	0	15
2022.03.27	00:00:00	122.032	125.093	121.275	122.527	533014	0	15
2022.04.03	00:00:00	122.6	124.67	122.26	124.279	305771	0	15
2022.04.10	00:00:00	124.024	126.67	124.015	126.395	408956	0	15
2022.04.17	00:00:00	126.399	129.401	126.229	128.487	478098	0	15
2022.04.24	00:00:00	128.585	131.244	126.936	129.746	552186	0	15
2022.05.01	00:00:00	129.719	130.8	128.618	130.521	434758	0	15
2022.05.08	00:00:00	130.473	131.34	127.509	129.247	553894	0	15
2022.05.15	00:00:00	129.234	129.774	127.016	127.916	471214	0	15
2022.05.22	00:00:00	127.907	128.078	126.353	127.098	445662	0	15
2022.05.29	00:00:00	126.981	130.972	126.853	130.798	397836	0	15
2022.06.05	00:00:00	130.889	134.546	130.423	134.348	552202	0	15
2022.06.12	00:00:00	134.315	135.576	131.485	134.923	841803	0	15
2022.06.19	00:00:00	134.916	136.703	134.259	135.157	685755	0	15
2022.06.26	00:00:00	135.065	136.996	134.513	135.232	691554	0	15
2022.07.03	00:00:00	135.294	136.561	134.776	136.06	508999	0	15
2022.07.10	00:00:00	135.925	139.379	135.924	138.504	528378	0	15
2022.07.17	00:00:00	138.502	138.87	135.562	136.056	471578	0	15
2022.07.24	00:00:00	136.114	137.454	132.496	133.209	528681	0	15
2022.07.31	00:00:00	133.246	135.494	130.381	135.0	660308	0	15
2022.08.07	00:00:00	135.047	135.574	131.735	133.468	576466	0	15
2022.08.14	00:00:00	133.404	137.223	132.548	136.894	502857	0	15
2022.08.21	00:00:00	136.855	137.7	135.796	137.513	512725	0	15
2022.08.28	00:00:00	137.64	140.794	137.522	140.18	496802	0	15
2022.09.04	00:00:00	140.108	144.985	140.077	142.601	759991	0	15
2022.09.11	00:00:00	142.124	144.95	141.593	142.895	774479	0	15
2022.09.18	00:00:00	142.884	145.896	140.342	143.349	888950	0	15
2022.09.25	00:00:00	143.603	144.897	143.176	144.739	1003021	0	15
2022.10.02	00:00:00	144.667	145.436	143.516	145.358	762841	0	15
2022.10.09	00:00:00	145.251	148.855	145.228	148.733	673272	0	15
2022.10.16	00:00:00	148.556	151.937	146.088	147.597	704837	0	15
2022.10.23	00:00:00	147.644	149.699	145.102	147.46	870745	0	15
2022.10.30	00:00:00	147.772	148.843	145.665	146.602	767383	0	15
2022.11.06	00:00:00	147.167	147.56	138.457	138.776	854940	0	15
2022.11.13	00:00:00	139.121	140.791	137.663	140.363	949435	0	15
2022.11.20	00:00:00	140.303	142.245	138.042	139.137	689788	0	15
2022.11.27	00:00:00	139.22	139.888	133.614	134.317	896914	0	15
2022.12.04	00:00:00	134.492	137.851	134.123	136.556	792094	0	15
2022.12.11	00:00:00	136.437	138.166	134.5	136.666	836875	0	15
2022.12.18	00:00:00	135.9	137.47	130.558	132.82	938587	0	15
2022.12.25	00:00:00	132.841	134.493	130.77	131.088	600704	0	15
2023.01.01	00:00:00	130.906	134.767	129.505	132.085	874447	0	15
2023.01.08	00:00:00	131.88	132.867	127.452	127.839	954891	0	15
2023.01.15	00:00:00	127.77	131.569	127.214	129.562	929112	0	15
2023.01.22	00:00:00	129.451	131.111	129.016	129.817	721658	0	15
2023.01.29	00:00:00	129.673	131.196	128.076	131.193	818867	0	15
2023.02.05	00:00:00	132.453	132.896	129.796	131.413	904668	0	15
2023.02.12	00:00:00	131.228	135.099	131.205	134.146	798152	0	15
2023.02.19	00:00:00	134.191	136.512	133.913	136.477	654836	0	15
2023.02.26	00:00:00	136.404	137.089	135.25	135.815	639648	0	15
2023.03.05	00:00:00	135.957	137.903	134.107	135.09	634584	0	15
2023.03.12	00:00:00	134.524	135.105	131.547	131.843	1029301	0	15
2023.03.19	00:00:00	131.739	132.993	129.633	130.709	758275	0	15
2023.03.26	00:00:00	130.534	133.586	130.398	132.804	508475	0	15
2023.04.02	00:00:00	133.365	133.749	130.62	132.168	379267	0	15
2023.04.09	00:00:00	132.121	134.039	131.825	133.742	414179	0	15
2023.04.16	00:00:00	133.784	135.13	133.541	134.114	383609	0	15
2023.04.23	00:00:00	133.963	136.555	133.008	136.295	455791	0	15
2023.04.30	00:00:00	136.102	137.766	133.493	134.821	549747	0	15
2023.05.07	00:00:00	134.765	135.746	133.736	135.715	453521	0	15
2023.05.14	00:00:00	135.631	138.74	135.602	137.927	466820	0	15
2023.05.21	00:00:00	137.957	140.716	137.486	140.577	433800	0	15
2023.05.28	00:00:00	140.565	140.924	138.424	139.956	423274	0	15
2023.06.04	00:00:00	139.945	140.445	138.753	139.368	441282	0	15
2023.06.11	00:00:00	139.26	141.903	139.004	141.855	491112	0	15
2023.06.18	00:00:00	141.68	143.864	141.208	143.678	481924	0	15
2023.06.25	00:00:00	143.455	145.061	142.929	144.254	502295	0	15
2023.07.02	00:00:00	144.343	144.907	142.064	142.067	406854	0	15
2023.07.09	00:00:00	142.142	142.999	137.232	138.775	530776	0	15
2023.07.16	00:00:00	138.697	141.944	137.67	141.813	497949	0	15
2023.07.23	00:00:00	141.552	141.803	138.053	141.154	665008	0	15
2023.07.30	00:00:00	140.903	143.881	140.68	141.685	702419	0	15
2023.08.06	00:00:00	141.651	144.992	141.504	144.932	537647	0	15
2023.08.13	00:00:00	144.791	146.552	144.64	145.388	530649	0	15
2023.08.20	00:00:00	145.251	146.626	144.532	146.398	525723	0	16
2023.08.27	00:00:00	146.389	147.365	144.434	146.171	531532	0	18
2023.09.03	00:00:00	146.043	147.863	146.01	147.755	429672	0	17
2023.09.10	00:00:00	146.97	147.942	145.893	147.828	502862	0	17
2023.09.17	00:00:00	147.658	148.448	147.311	148.343	414645	0	19
2023.09.24	00:00:00	148.203	149.697	148.201	149.312	395797	0	19
2023.10.01	00:00:00	149.593	150.148	147.277	149.255	509979	0	19
2023.10.08	00:00:00	149.042	149.818	148.151	149.513	434438	0	19
2023.10.15	00:00:00	149.333	149.983	148.72	149.822	355829	0	19
2023.10.22	00:00:00	149.846	150.768	149.311	149.561	331970	0	19
2023.10.29	00:00:00	149.471	151.701	148.793	149.314	411159	0	19
2023.11.05	00:00:00	149.32	151.592	149.301	151.496	325140	0	19
2023.11.12	00:00:00	151.405	151.898	149.187	149.584	356408	0	19
2023.11.19	00:00:00	149.567	149.981	147.139	149.392	430444	0	19
2023.11.26	00:00:00	149.403	149.665	146.652	146.769	614757	0	19
2023.12.03	00:00:00	146.66	147.488	141.576	144.932	784659	0	19
2023.12.10	00:00:00	144.873	146.577	140.945	142.11	872642	0	19
2023.12.17	00:00:00	142.022	144.946	141.853	142.391	678441	0	18
2023.12.24	00:00:00	142.222	142.837	140.241	140.993	409232	0	19
2023.12.31	00:00:00	140.826	145.964	140.799	144.567	573260	0	19
2024.01.07	00:00:00	144.483	146.405	143.409	144.885	703496	0	19
2024.01.14	00:00:00	144.794	148.793	144.791	148.126	672631	0	19
2024.01.21	00:00:00	148.199	148.685	146.642	148.112	692236	0	19
2024.01.28	00:00:00	148.078	148.575	145.886	148.322	762429	0	19
2024.02.04	00:00:00	148.363	149.565	147.621	149.245	685111	0	19
2024.02.11	00:00:00	149.276	150.874	148.918	150.175	644564	0	19
2024.02.18	00:00:00	150.071	150.758	149.673	150.535	545148	0	18
2024.02.25	00:00:00	150.453	150.834	149.197	150.067	649241	0	19
2024.03.03	00:00:00	149.938	150.558	146.47	147.041	689446	0	19
2024.03.10	00:00:00	146.965	149.153	146.476	149.011	673115	0	20
2024.03.17	00:00:00	148.94	151.853	148.898	151.407	671430	0	20
2024.03.24	00:00:00	151.257	151.961	151.016	151.295	436951	0	19
2024.03.31	00:00:00	151.245	151.943	150.8	151.611	411062	0	19
2024.04.07	00:00:00	151.558	153.375	151.538	153.252	469526	0	19
2024.04.14	00:00:00	153.003	154.775	152.955	154.609	523873	0	20
2024.04.21	00:00:00	154.532	158.429	154.343	158.34	429280	0	21
2024.04.28	00:00:00	157.796	160.205	151.85	152.932	760365	0	20
2024.05.05	00:00:00	152.888	155.94	152.757	155.746	410936	0	20
2024.05.12	00:00:00	155.638	156.764	153.587	155.602	444759	0	20
2024.05.19	00:00:00	155.593	157.186	155.474	156.895	386049	0	20
2024.05.26	00:00:00	156.855	157.699	156.361	157.241	419716	0	20
2024.06.02	00:00:00	157.1	157.462	154.526	156.742	655540	0	20
2024.06.09	00:00:00	156.736	158.246	155.707	157.29	656882	0	20
2024.06.16	00:00:00	157.256	159.826	157.146	159.744	367094	0	20
2024.06.23	00:00:00	159.74	161.271	158.736	160.827	475641	0	20
2024.06.30	00:00:00	160.717	161.939	160.319	160.735	453156	0	20
2024.07.07	00:00:00	160.728	161.796	157.345	157.834	561908	0	20
2024.07.14	00:00:00	158.061	158.846	155.362	157.404	712677	0	20
2024.07.21	00:00:00	157.32	157.603	151.931	153.78	919380	0	20
2024.07.28	00:00:00	153.625	155.206	146.404	146.475	1291644	0	20
2024.08.04	00:00:00	146.509	147.891	141.678	146.574	1565541	0	20
2024.08.11	00:00:00	146.512	149.388	146.062	147.57	1039867	0	20
2024.08.18	00:00:00	147.543	148.046	144.038	144.376	976709	0	20
2024.08.25	00:00:00	144.23	146.238	143.436	146.12	824296	0	20
2024.09.01	00:00:00	145.973	147.2	141.759	142.244	977821	0	20
2024.09.08	00:00:00	142.198	143.786	140.27	140.822	1038647	0	20
2024.09.15	00:00:00	140.701	144.484	139.569	143.849	1033477	0	20
2024.09.22	00:00:00	143.84	146.483	142.057	142.152	947053	0	20
2024.09.29	00:00:00	142.175	148.995	141.633	148.65	904689	0	20
2024.10.06	00:00:00	148.671	149.57	147.332	149.107	761385	0	20
2024.10.13	00:00:00	148.971	150.313	148.837	149.462	591515	0	20
2024.10.20	00:00:00	149.451	153.178	149.076	152.276	775826	0	20
2024.10.27	00:00:00	153.17	153.872	151.777	152.869	757929	0	20
2024.11.03	00:00:00	152.267	154.701	151.271	152.61	934162	0	20
2024.11.10	00:00:00	152.63	156.739	152.605	154.295	719575	0	20
2024.11.17	00:00:00	154.258	155.875	153.269	154.683	875648	0	20
2024.11.24	00:00:00	154.083	154.712	149.454	149.606	812363	0	20
2024.12.01	00:00:00	149.549	151.222	148.634	149.953	761590	0	20
2024.12.08	00:00:00	149.888	153.793	149.683	153.59	663239	0	20
2024.12.15	00:00:00	153.583	157.915	153.151	156.419	762928	0	20
