<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.13	00:00:00	148.438	148.456	147.361	147.464	147241	0	20
2025.05.14	00:00:00	147.46	147.659	145.595	146.735	160274	0	20
2025.05.15	00:00:00	146.727	146.748	145.4	145.645	146255	0	20
2025.05.16	00:00:00	145.64	146.092	144.908	145.648	121699	0	20
2025.05.19	00:00:00	145.205	145.447	144.651	144.833	146543	0	20
2025.05.20	00:00:00	144.818	145.502	144.08	144.484	140456	0	20
2025.05.21	00:00:00	144.48	144.552	143.272	143.657	164988	0	20
2025.05.22	00:00:00	143.65	144.387	142.791	143.996	169641	0	20
2025.05.23	00:00:00	143.987	144.061	142.411	142.546	162347	0	20
2025.05.26	00:00:00	142.41	143.072	142.216	142.825	89790	0	20
2025.05.27	00:00:00	142.828	144.447	142.101	144.311	136467	0	20
2025.05.28	00:00:00	144.307	145.069	143.84	144.784	140006	0	20
2025.05.29	00:00:00	144.786	146.274	143.95	144.158	170314	0	20
2025.05.30	00:00:00	144.159	144.435	143.425	143.967	162486	0	20
2025.06.02	00:00:00	143.748	143.975	142.529	142.656	153523	0	20
2025.06.03	00:00:00	142.661	144.1	142.364	143.864	130148	0	20
2025.06.04	00:00:00	143.88	144.387	142.594	142.728	135977	0	20
2025.06.05	00:00:00	142.728	143.968	142.52	143.434	169803	0	20
2025.06.06	00:00:00	143.411	145.082	143.384	144.83	145110	0	20
2025.06.09	00:00:00	144.799	144.937	143.964	144.521	99206	0	20
2025.06.10	00:00:00	144.498	145.283	144.39	144.797	111795	0	20
2025.06.11	00:00:00	144.792	145.456	144.312	144.521	142309	0	20
2025.06.12	00:00:00	144.521	144.55	143.177	143.451	158800	0	20
2025.06.13	00:00:00	143.441	144.471	142.78	144.077	206950	0	20
2025.06.16	00:00:00	143.929	144.868	143.644	144.699	146587	0	20
2025.06.17	00:00:00	144.688	145.368	144.378	145.24	130862	0	20
2025.06.18	00:00:00	145.165	145.434	144.315	145.102	128392	0	20
2025.06.19	00:00:00	145.109	145.761	144.725	145.317	110408	0	20
2025.06.20	00:00:00	145.34	146.209	145.114	146.057	126119	0	20
2025.06.23	00:00:00	146.629	148.021	145.999	146.061	169320	0	20
2025.06.24	00:00:00	146.077	146.163	144.503	144.881	158416	0	20
2025.06.25	00:00:00	144.886	145.941	144.596	145.174	120374	0	20
2025.06.26	00:00:00	145.174	145.255	143.744	144.344	142366	0	20
2025.06.27	00:00:00	144.345	144.94	144.164	144.624	139757	0	20
2025.06.30	00:00:00	144.3	144.755	143.769	143.965	146235	0	20
2025.07.01	00:00:00	143.972	144.046	142.673	143.359	121547	0	20
2025.07.02	00:00:00	143.356	144.239	143.309	143.573	127864	0	20
2025.07.03	00:00:00	143.563	145.224	143.434	144.907	107372	0	20
2025.07.04	00:00:00	144.907	144.958	144.173	144.411	89054	0	20
2025.07.07	00:00:00	144.368	146.231	144.215	146.008	107524	0	20
