combo_id,timeframes,tf_count,regime_detection_tf,htf_alignment_tfs,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,elapsed_sec
M5+M15+M30+H1+H8+D1,"M5,M15,M30,H1,H8,D1",6,H1,D1,5520,62.55,77.47,2.14,4760976.0,5.18,4.76,158.7,82.3
M5+M15+M30+H4+H8+D1,"M5,M15,M30,H4,H8,D1",6,H4,"H4,D1",6205,62.8,78.02,2.13,5240179.0,3.79,4.95,174.67,81.0
M30+D1,"M30,D1",2,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.1
M5+M15+H1+H4+H8+D1,"M5,M15,H1,H4,H8,D1",6,H1,"H4,D1",6806,61.44,76.63,1.96,4992337.0,5.5,4.8,166.41,79.3
M5+M30+H1+H4+H8+D1,"M5,M30,H1,H4,H8,D1",6,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.3
M15+M30+H1+H4+H8+D1,"M15,M30,H1,H4,H8,D1",6,H1,"H4,D1",5858,62.91,78.31,2.2,5338776.0,3.76,5.35,177.96,84.2
M1+M5+M15+M30+H1+H4+H8,"M1,M5,M15,M30,H1,H4,H8",7,H1,H4,6359,60.82,76.71,1.98,4811340.0,5.59,4.54,160.38,87.6
M1+M5+M15+M30+H1+H4+D1,"M1,M5,M15,M30,H1,H4,D1",7,H1,"H4,D1",6646,60.23,76.0,1.82,4161130.0,6.48,4.24,138.7,91.4
M1+M5+M15+M30+H1+H8+D1,"M1,M5,M15,M30,H1,H8,D1",7,H1,D1,5854,60.44,75.75,1.9,4142383.0,5.66,4.19,138.08,92.8
M1+M5+M15+M30+H4+H8+D1,"M1,M5,M15,M30,H4,H8,D1",7,H4,"H4,D1",6657,60.84,76.18,1.83,4172620.0,5.46,4.18,139.09,90.9
M1+M5+M15+H1+H4+H8+D1,"M1,M5,M15,H1,H4,H8,D1",7,H1,"H4,D1",6869,60.07,75.75,1.81,4261273.0,6.18,4.17,142.04,89.4
H1+H4,"H1,H4",2,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.8
M1+M5+M30+H1+H4+H8+D1,"M1,M5,M30,H1,H4,H8,D1",7,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
M1+M15+M30+H1+H4+H8+D1,"M1,M15,M30,H1,H4,H8,D1",7,H1,"H4,D1",6755,61.35,77.06,1.97,4977978.0,5.73,4.68,165.93,85.7
M5+M15+M30+H1+H4+H8+D1,"M5,M15,M30,H1,H4,H8,D1",7,H1,"H4,D1",6885,61.45,76.88,2.0,5283982.0,5.53,4.99,176.13,74.5
